incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD24127379,10/31/2024 2:16:00 PM,10/31/2024 2:00:00 PM,5349,11 SIMPLE ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY 525.070 02407 13B,13B,A,YES,4TH DIVISION,412,RESIDENCE/HOME,600 BLOCK E OAK ST,LOUISVILLE,40203,11946
LMPD24126954,10/30/2024 3:00:00 PM,10/29/2024 9:30:00 PM,8560,23 LARCENY,"TBUT OR DISP ALL OTHERS $1,000 < $10,000 514.030 24097 23H",23H,A,YES,6TH DIVISION,612,CONSTRUCTION SITE,900 BLOCK W INDIAN TRL,LOUISVILLE,40213,11947
LMPD24903334,10/31/2024 2:00:00 PM,10/31/2024 2:00:00 PM,8185,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,5TH DIVISION,525,RESIDENCE/HOME,200 BLOCK DON ALLEN RD,RICHLAWN,40207,11948
LMPD24903180,10/30/2024 3:00:00 PM,10/30/2024 3:00:00 PM,8185,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,6TH DIVISION,611,DRUG STORE/DOCTOR'S OFFICE/HOSPITAL,3800 BLOCK POPLAR LEVEL RD,LOUISVILLE,40213,11949
LMPD24131151,10/31/2024 1:54:00 PM,10/30/2024 3:30:00 PM,5385,13 BURGLARY,BURGLARY - 2ND DEGREE 511.030 22061 220,220,A,YES,6TH DIVISION,624,RESIDENCE/HOME,8000 BLOCK PENNY ROSE CT,LOUISVILLE,40299,11950
LMPD25010761,11/1/2024 4:00:00 AM,11/1/2024 4:00:00 AM,8584,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,2ND DIVISION,223,RESIDENCE/HOME,pending,LOUISVILLE,40210,11951
LMPD25064548,11/1/2024 4:00:00 AM,11/1/2024 4:00:00 AM,7098,15 UNAUTHORIZED USE,UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE 514.100 00701 240,240,A,YES,8TH DIVISION,815,OTHER RESIDENCE (APARTMENT/CONDO),2800 BLOCK GOOSE CREEK RD,ROLLING_HILLS,40242,11952
LMPD24132719,11/1/2024 4:00:00 AM,11/1/2024 4:00:00 AM,8173,19 THEFT FR BLDG,TBUT OR DISP FROM BUILDING 514.030 24160 23D,23D,A,YES,1ST DIVISION,135,OTHER RESIDENCE (APARTMENT/CONDO),400 BLOCK E MUHAMMAD ALI BLVD,LOUISVILLE,40202,11953
LMPD25050674,11/1/2024 4:00:00 AM,11/1/2024 4:00:00 AM,8584,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,3RD DIVISION,334,RESIDENCE/HOME,7200 BLOCK OAKBURN DR,LOUISVILLE,40258,11954
LMPD25062534,11/1/2024 4:00:00 AM,11/1/2024 4:00:00 AM,8515,56 ALL OTHER OFFENSES,PROPERTY LOST OR ABANDONED NON CRIMINAL 67.592(1C) 03024 90Z,90Z,B,NO,7TH DIVISION,736,OTHER RESIDENCE (APARTMENT/CONDO),8200 BLOCK MINOR LN,LOUISVILLE,40219,11955
LMPD25062732,11/1/2024 4:00:00 AM,11/1/2024 4:00:00 AM,5144,37 STAT RAPE,PROMOTING A MINOR U/16 IN SEX PERFORMANCE 531.320(2B) 37228 36B,999,B,NO,4TH DIVISION,412,RESIDENCE/HOME,1000 BLOCK DIXON AVE,LOUISVILLE,40217,11956
LMPD24140640,11/1/2024 4:00:00 AM,11/1/2024 4:00:00 AM,7371,37 STAT RAPE,RAPE - 3RD DEGREE 510.060 11165 36B,999,B,NO,8TH DIVISION,812,RESIDENCE/HOME,3700 BLOCK FALLEN TIMBER DR,BROWNSBORO FARM,40241,11957
